Kd_Kel.,Kd_Barang,Keterangan,Ukuran,minimum,Satuan,Ekuivalen,Qty,Harga_Jual
K001,HL001,"Hot Lid Paper Cup 8 oz type ""B"" ",8 Oz,1,Dus,20 pack,1.000 Pcs,249.75
K001,HL002,"Hot Lid Paper Cup 12 /16 oz type ""B""",12/16 Oz,1,Dus,20 pack,1.000 Pcs,324
K001,HL003,"Hot Lid paper cup 8 oz type ""A""",8 Oz,1,Dus,20 pack,1.000 Pcs,286.8
K001,HL004,"Hot Lid paper cup 12 / 16 oz type ""A""",12/16 Oz,1,Dus,20 pack,1.000 Pcs,372
K001,HL005,"Hot Lid Paper Cup 8 oz type ""C""",8 Oz,1,Dus,20 pack,1.000 Pcs,249.75
K001,HL006,"Hot Lid Paper Cup 8 oz type ""D""",8 Oz,1,Dus,20 pack,1.000 Pcs,249.75
K001,HL009,"Hot Lid Paper Cup 8 oz type ""E""",8 Oz,1,Dus,20 pack,1.000 Pcs,249.75
K001,HL010,Hot Lid Paper Cup 8 oz Model Kancing @ 1.000 pcs / Dus. Hitam,8 Oz,1,Dus,20 pack,1.000 Pcs,260
K001,HL011,Hot Lid Paper Cup 12 / 16 oz Model Kancing @ 1.000 pcs / Dus. Hitam,12 / 16 Oz,1,Dus,20 pack,1.000 Pcs,330
K001,HL014,Hot Lid Paper Cup 12 / 16 oz Model Kancing @ 1.000 pcs / Dus. Putih,12 / 16 Oz,1,Dus,20 pack,1.000 Pcs,330
K001,HL007,Hot Lid Cup 6.5 Oz Hitam @ 1.000 pcs / Dus,6.5 Oz,1,Dus,20 pack,1.000 Pcs,192
K001,HL008,Hot Lid Cup 9 Oz Hitam @ 1.000 pcs / Dus Model Kancing,9 Oz,1,Dus,20 pack,1.000 Pcs,204
K001,HL012,Hot Lid Paper Cup Plain 4 Oz. Warna Hitam @ 2.000 Pcs / Dus ( Kecil ),4 Oz,1,Dus,,2.000 Pcs,380
K001,HL020,Hot Lid Paper Cup 8 oz Model Kancing @ 1.000 pcs / Dus. Putih,8 Oz,1,Dus,20 Pack,1.000 Pcs,260
K001,HL021,Lid Hot Paper Cup 8 Oz kancing(2) @ 1000 pcs/Dus.Hitam,8 Oz,1,Dus,,1000 Pcs,260
K001,HL022,Lid Hot Paper Cup 8 Oz kancing(3) @ 1000 pcs/Dus.Hitam,8 Oz,1,Dus,,1000 Pcs,266
K001,HL023,Lid Hot Paper Cup 8 Oz kancing(3) @ 1000 pcs/Dus.Putih,8 Oz,1,Dus,,1000 Pcs,266
K001,HL026,Lid Hot Paper Cup 8 Oz (S2) Hitam @1000 Pcs/Dus,8 Oz,1,Dus,,1000 Pcs,260
K001,HL013,Lid Hot Paper Cup 6.5 Oz model flip.Htm @1000Pcs/Dus,6.5 Oz,1,Dus,,1000 Pcs,212
K001,HL015,Hot Lid Cup 6.5 Oz Putih @ 1.000 pcs / Dus,6.5 Oz,1,Dus,20 pack,1.000 Pcs,185
,,,,,,,,
K001,HP005,Hot Paper Cup Generic 6.5 Oz Motif Coffee Break,6.5 Oz,1,Dus,20 pack,1.000 Pcs,317
K001,HP006,Hot Paper Cup Generic 6.5 Oz Motif Premium Coffee ,6.5 Oz,1,Dus,20 pack,1.000 Pcs,317
K001,HP007,Hot Paper Cup Generic 6.5 Oz Motif Mr Coffee ,6.5 Oz,1,Dus,20 pack,1.000 Pcs,317
K001,HP008,Hot Paper Cup Generic 6.5 Oz Motif I Love Coffee ,6.5 Oz,1,Dus,20 pack,1.000 Pcs,317
K001,HP009,Hot Paper Cup Generic 9 Oz Motif Coffee Break,9 Oz,1,Dus,20 pack,1.000 Pcs,323
K001,HP010,Hot Paper Cup Generic 9 Oz Motif I Love Coffee,9 Oz,1,Dus,20 pack,1.000 Pcs,323
K001,HP042,Hot Paper Cup 6.5 Oz Generic Motif Mix @1.000 Pcs,6.5,1,Dus,,1.000 Pcs,317
,,,,,,,,
K001,HP012,Sleeve Hot Paper Cup 8 Oz @ 1.000 Pcs / Dus,,1,Dus,,1.000 Pcs,215
K001,HP013,Hot Paper cup Plain 6.5 Oz(new) @1000Pcs/Dus,,1,Dus,,1000 Pcs,335
K001,HP018,Hot Paper Cup Plain 4 oz @ 1.000 pcs / Dus ( Kecil ),4 Oz,1,Dus,,1.000 Pcs,303.5
K001,HP019,Hot Paper Cup Plain 4 oz @ 1.000 pcs / Dus ( Besar ),4 Oz,1,Dus,20 pack,1.000 Pcs,303.5
K001,HP020,Hot Paper Cup Plain 6.5 oz @ 1.000 Pcs / Dus,6.5 Oz,1,Dus,20 pack,1.000 Pcs,314
K001,HP021,Hot Paper Cup Plain 8 oz @ 1.000 pcs / Dus. ( Besar ),8 Oz,1,Dus,20 pack,1.000 Pcs,350
K001,HP022,Hot paper cup Htm 8 Oz (BSM) New @1000Pcs/Dus,8 Oz,1,Dus,,1.000 Pcs,405
K001,HP025,Hot Paper Cup Plain 8 oz @ 1.000 pcs / Dus. ( Kecil ),8 Oz,1,Dus,20 pack,1.000 Pcs,336
